id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_pkb,jumlah_pendapatan,satuan,tahun
159,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,PKB POKOK,507920695000,RUPIAH,2015
160,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,PKB DENDA,20049508000,RUPIAH,2015
161,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,PKB POKOK,787557215500,RUPIAH,2015
162,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,PKB DENDA,26502921000,RUPIAH,2015
163,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,PKB POKOK,622000946000,RUPIAH,2015
164,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,PKB DENDA,22626242500,RUPIAH,2015
165,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,PKB POKOK,818348223500,RUPIAH,2015
166,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,PKB DENDA,36458005500,RUPIAH,2015
167,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,PKB POKOK,330837839000,RUPIAH,2015
168,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,PKB DENDA,15903842800,RUPIAH,2015
169,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,PKB POKOK,860240954000,RUPIAH,2015
170,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,PKB DENDA,38235244300,RUPIAH,2015
171,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,PKB POKOK,729017441000,RUPIAH,2015
172,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,PKB DENDA,34882551000,RUPIAH,2015
173,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,PKB POKOK,2116599623000,RUPIAH,2015
174,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,PKB DENDA,80366751000,RUPIAH,2015
175,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,PKB POKOK,4904181940000,RUPIAH,2015
176,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,PKB DENDA,185971874500,RUPIAH,2015
177,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,PKB POKOK,1521421575000,RUPIAH,2015
178,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,PKB DENDA,48510038000,RUPIAH,2015
179,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,PKB POKOK,194958189000,RUPIAH,2015
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,PKB DENDA,6215494000,RUPIAH,2015
181,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,PKB POKOK,2019074994000,RUPIAH,2015
182,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,PKB DENDA,70056490000,RUPIAH,2015
183,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,PKB POKOK,410538151500,RUPIAH,2015
184,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,PKB DENDA,16331334000,RUPIAH,2015
185,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I PJJRN,PKB POKOK,3320022235500,RUPIAH,2015
186,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I PJJRN,PKB DENDA,88212844500,RUPIAH,2015
187,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II KWLYN,PKB POKOK,3426060752500,RUPIAH,2015
188,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II KWLYN,PKB DENDA,98796864000,RUPIAH,2015
189,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III SOETA,PKB POKOK,2796069383500,RUPIAH,2015
190,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III SOETA,PKB DENDA,79706410000,RUPIAH,2015
191,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,PKB POKOK,828534644500,RUPIAH,2015
192,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,PKB DENDA,26353509300,RUPIAH,2015
193,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,PKB POKOK,7595615015500,RUPIAH,2015
194,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,PKB DENDA,277754166000,RUPIAH,2015
195,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,PKB POKOK,2980873319500,RUPIAH,2015
196,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,PKB DENDA,119637130000,RUPIAH,2015
197,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II CINERE,PKB POKOK,1538608012000,RUPIAH,2015
198,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II CINERE,PKB DENDA,61638374000,RUPIAH,2015
199,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,PKB POKOK,1077793178000,RUPIAH,2015
